EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,
2749,Elizabeth,Meads,15-Nov-18,19-Nov-18,Production Technician I,Matthew Wilcox,elizabeth.meads@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Retirement,He PM simply interesting.,Production       ,Technology / It,08-04-1949,MA,Administrator,Female,1760,Black,Widowed,Fully Meets,5,very high
2995,Ronnie,Haas,03-Sep-18,29-Nov-18,Production Technician I,Jason Huber,ronnie.haas@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Resignation,Training party upon.,Production       ,General - Con,17-10-1954,MA,Technician,Male,43823,Other,Single,Needs Improvement,4,high
1636,Landen,Blanchard,16-Oct-18,17-Dec-18,Sales Manager,Donna Gomez,landen.blanchard@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Involuntary,Four look heavy by much.,Admin Offices,Aerial,07-11-1998,MA,Lineman,Male,6067,White,Single,Fully Meets,3,medium
1060,Frida,Livingston,10-Oct-18,25-Dec-18,Shared Services Manager,Sandra Black,frida.livingston@bilearner.com,CCDR,Active,Part-Time,Zone B,Full-Time,Voluntary,Improve center sure Mr respond for recent.,Software Engineering,General - Con,05-02-1976,MA,Project Manager,Female,20331,Black,Single,Fully Meets,3,medium
2950,Charlize,Rocha,14-Sep-18,04-Jan-19,Production Technician II,James Chapman,charlize.rocha@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Zone C,Temporary,Involuntary,Past value city attorney could onto bed.,Production       ,People Services,04-01-1943,MA,Manager,Female,75308,White,Married,Needs Improvement,4,high
3478,Thomas,Chandler,17-Sep-18,09-Jan-19,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10-10-1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,low
2706,Yadiel,Riggs,13-Dec-18,13-Jan-19,Area Sales Manager,Eric Byrd,yadiel.riggs@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,Involuntary,Can last meet shake imagine he.,Sales,Field Operations,24-09-1975,NC,Electrician,Male,39922,Asian,Widowed,Fully Meets,2,low
2249,Jewel,Bryant,28-Sep-18,26-Jan-19,IT Support,James Rhodes,jewel.bryant@bilearner.com,MSC,Active,Contract,Zone C,Part-Time,Voluntary,Only movie ability wait according.,IT/IS,Field Operations,07-11-1994,MA,Laborer,Female,2760,Black,Divorced,Fully Meets,4,high
3586,Jaqueline,Terrell,01-Feb-19,10-Feb-19,Production Technician I,Veronica Wiley,jaqueline.terrell@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Resignation,Identify next game leader.,Production       ,People Services,27-12-2000,MA,Manager,Female,24711,Hispanic,Single,Fully Meets,2,low
3603,Houston,Aguirre,29-Nov-18,21-Feb-19,Production Technician II,Christine Costa,houston.aguirre@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone A,Part-Time,Resignation,To trial deep.,Production       ,Field Operations,15-02-1977,MA,Technician,Female,58348,White,Married,Fully Meets,2,low
2747,Sneha,Jhaveri,18-Aug-18,28-Feb-19,Production Technician I,Todd Gonzales,sneha.jhaveri@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Voluntary,Few attorney all campaign town reflect behavior.,Production       ,General - Con,23-11-1960,MA,Lineman,Female,2109,Hispanic,Married,Fully Meets,4,high
1117,Payten,Middleton,21-Feb-19,06-Mar-19,Production Technician I,Dennis Martinez,payten.middleton@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone C,Temporary,Resignation,Place impact which although.,Production       ,General - Con,23-08-1997,MA,Technician,Male,6139,Other,Divorced,Fully Meets,3,medium
1397,John,Kretschmer,25-Dec-18,11-Mar-19,Production Technician I,Robert Gonzalez,john.kretschmer@bilearner.com,MSC,Active,Contract,Zone A,Part-Time,Voluntary,Science fall always move thank seat huge.,Production       ,General - Con,26-02-1981,MA,Laborer,Male,1801,Other,Single,Exceeds,3,medium
1633,Miley,French,22-Oct-18,13-Mar-19,Area Sales Manager,Sandra Gardner,miley.french@bilearner.com,EW,Active,Contract,Zone B,Temporary,Involuntary,Establish hotel up value property.,IT/IS,Field Operations,05-05-1994,MA,Laborer,Female,94379,Black,Widowed,Fully Meets,3,medium
1883,Giselle,Butler,27-Aug-18,23-Mar-19,Production Technician I,Regina Goodwin,giselle.butler@bilearner.com,NEL,Active,Full-Time,Zone B,Temporary,Voluntary,Unit computer what age career.,Production       ,Project Management - Con,03-07-1967,MA,Project Manager,Female,26876,Black,Single,Fully Meets,3,medium
2738,Kaeden,Branch,07-Feb-19,25-Mar-19,Area Sales Manager,Spencer Larson,kaeden.branch@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Involuntary,Member success us future a song every.,Sales,Field Operations,23-09-1957,TN,Laborer,Male,86185,Hispanic,Married,Fully Meets,5,very high
